# additive constant
1520.750000
#  115 local fields
0 -3.000000
1 -3.000000
2 -3.000000
3 -3.000000
4 -3.750000
5 -3.750000
6 -3.000000
7 -3.000000
8 -3.750000
9 -3.000000
10 -3.750000
11 -3.750000
12 -3.750000
13 -4.500000
14 -3.000000
15 -3.750000
16 -3.000000
17 -3.000000
18 -3.000000
19 -3.750000
20 -3.000000
21 -3.000000
22 -3.000000
23 -3.000000
24 -3.750000
25 -3.000000
26 -3.750000
27 -3.000000
28 -3.750000
29 -3.750000
30 -3.000000
31 -3.000000
32 -3.000000
33 13.875000
34 13.875000
35 14.250000
36 14.250000
37 13.875000
38 14.250000
39 14.250000
40 13.875000
41 13.875000
42 14.250000
43 14.250000
44 13.875000
45 13.875000
46 14.250000
47 14.812500
48 14.812500
49 14.812500
50 14.250000
51 14.250000
52 14.250000
53 13.875000
54 14.250000
55 14.250000
56 13.875000
57 13.875000
58 14.250000
59 14.250000
60 14.812500
61 14.812500
62 14.250000
63 13.875000
64 13.875000
65 14.250000
66 14.250000
67 14.250000
68 14.812500
69 14.812500
70 14.250000
71 14.250000
72 14.812500
73 14.250000
74 14.250000
75 14.250000
76 14.812500
77 14.812500
78 14.812500
79 14.812500
80 14.250000
81 13.875000
82 13.875000
83 14.250000
84 14.250000
85 14.250000
86 13.875000
87 14.250000
88 13.875000
89 13.875000
90 14.250000
91 13.875000
92 14.250000
93 14.250000
94 14.250000
95 13.875000
96 13.875000
97 13.875000
98 14.250000
99 14.250000
100 14.250000
101 13.875000
102 14.812500
103 14.812500
104 14.250000
105 14.250000
106 14.812500
107 13.875000
108 14.812500
109 14.250000
110 14.250000
111 14.250000
112 13.875000
113 12.750000
114 25.500000
# non-zero couplings
0 1 0.437500
0 2 0.437500
0 3 0.250000
0 4 0.437500
0 5 0.437500
0 6 0.250000
0 7 0.250000
0 8 0.250000
0 9 0.250000
0 10 0.250000
0 11 0.250000
0 12 0.250000
0 13 0.250000
0 14 0.250000
0 15 0.250000
0 16 0.250000
0 17 0.250000
0 18 0.250000
0 19 0.250000
0 20 0.250000
0 21 0.250000
0 22 0.250000
0 23 0.250000
0 24 0.250000
0 25 0.250000
0 26 0.250000
0 27 0.250000
0 28 0.250000
0 29 0.250000
0 30 0.250000
0 31 0.250000
0 32 0.250000
0 33 -0.375000
0 34 -0.375000
0 35 -0.375000
0 36 -0.375000
1 0 0.437500
1 2 0.437500
1 3 0.250000
1 4 0.250000
1 5 0.250000
1 6 0.250000
1 7 0.250000
1 8 0.437500
