# additive constant
927.625000
#  115 local fields
0 -2.500000
1 -2.500000
2 -2.500000
3 -2.500000
4 -3.000000
5 -3.000000
6 -2.500000
7 -2.500000
8 -3.000000
9 -2.500000
10 -3.000000
11 -3.000000
12 -3.000000
13 -3.500000
14 -2.500000
15 -3.000000
16 -2.500000
17 -2.500000
18 -2.500000
19 -3.000000
20 -2.500000
21 -2.500000
22 -2.500000
23 -2.500000
24 -3.000000
25 -2.500000
26 -3.000000
27 -2.500000
28 -3.000000
29 -3.000000
30 -2.500000
31 -2.500000
32 -2.500000
33 7.250000
34 7.250000
35 7.625000
36 7.625000
37 7.250000
38 7.625000
39 7.625000
40 7.250000
41 7.250000
42 7.625000
43 7.625000
44 7.250000
45 7.250000
46 7.625000
47 8.187500
48 8.187500
49 8.187500
50 7.625000
51 7.625000
52 7.625000
53 7.250000
54 7.625000
55 7.625000
56 7.250000
57 7.250000
58 7.625000
59 7.625000
60 8.187500
61 8.187500
62 7.625000
63 7.250000
64 7.250000
65 7.625000
66 7.625000
67 7.625000
68 8.187500
69 8.187500
70 7.625000
71 7.625000
72 8.187500
73 7.625000
74 7.625000
75 7.625000
76 8.187500
77 8.187500
78 8.187500
79 8.187500
80 7.625000
81 7.250000
82 7.250000
83 7.625000
84 7.625000
85 7.625000
86 7.250000
87 7.625000
88 7.250000
89 7.250000
90 7.625000
91 7.250000
92 7.625000
93 7.625000
94 7.625000
95 7.250000
96 7.250000
97 7.250000
98 7.625000
99 7.625000
100 7.625000
101 7.250000
102 8.187500
103 8.187500
104 7.625000
105 7.625000
106 8.187500
107 7.250000
108 8.187500
109 7.625000
110 7.625000
111 7.625000
112 7.250000
113 6.375000
114 12.750000
# non-zero couplings
0 1 0.375000
0 2 0.375000
0 3 0.250000
0 4 0.375000
0 5 0.375000
0 6 0.250000
0 7 0.250000
0 8 0.250000
0 9 0.250000
0 10 0.250000
0 11 0.250000
0 12 0.250000
0 13 0.250000
0 14 0.250000
0 15 0.250000
0 16 0.250000
0 17 0.250000
0 18 0.250000
0 19 0.250000
0 20 0.250000
0 21 0.250000
0 22 0.250000
0 23 0.250000
0 24 0.250000
0 25 0.250000
0 26 0.250000
0 27 0.250000
0 28 0.250000
0 29 0.250000
0 30 0.250000
0 31 0.250000
0 32 0.250000
0 33 -0.250000
0 34 -0.250000
0 35 -0.250000
0 36 -0.250000
1 0 0.375000
1 2 0.375000
1 3 0.250000
1 4 0.250000
1 5 0.250000
1 6 0.250000
1 7 0.250000
1 8 0.375000
1 9 0.250000
1 10 0.375000
1 11 0.250000
1 12 0.250000
1 13 0.250000
1 14 0.250000
1 15 0.250000
1 16 0.250000
1 17 0.250000
1 18 0.250000
1 19 0.250000
1 20 0.250000
1 21 0.250000
1 22 0.250000
1 23 0.250000
1 24 0.250000
1 25 0.250000
1 26 0.250000
1 27 0.250000
1 28 0.250000
1 29 0.250000
1 30 0.250000
1 31 0.250000
1 32 0.250000
1 33 -0.250000
1 37 -0.250000
1 38 -0.250000
1 39 -0.250000
2 0 0.375000
2 1 0.375000
2 3 0.250000
2 4 0.250000
2 5 0.250000
2 6 0.250000
2 7 0.250000
2 8 0.250000
2 9 0.250000
2 10 0.250000
2 11 0.250000
2 12 0.250000
2 13 0.250000
2 14 0.250000
2 15 0.250000
2 16 0.250000
2 17 0.250000
2 18 0.250000
2 19 0.250000
2 20 0.250000
2 21 0.375000
2 22 0.375000
2 23 0.250000
2 24 0.250000
2 25 0.250000
2 26 0.250000
2 27 0.250000
2 28 0.250000
2 29 0.250000
2 30 0.250000
2 31 0.250000
2 32 0.250000
2 34 -0.250000
2 37 -0.250000
2 40 -0.250000
2 41 -0.250000
3 0 0.250000
3 1 0.250000
3 2 0.250000
3 4 0.375000
3 5 0.375000
3 6 0.375000
3 7 0.375000
3 8 0.250000
3 9 0.250000
3 10 0.250000
3 11 0.250000
3 12 0.250000
3 13 0.250000
3 14 0.250000
3 15 0.250000
3 16 0.250000
3 17 0.250000
3 18 0.250000
3 19 0.250000
3 20 0.250000
3 21 0.250000
3 22 0.250000
3 23 0.250000
