# additive constant
374.000000
#  115 local fields
0 -35.000000
1 -35.000000
2 -35.000000
3 -35.000000
4 -35.000000
5 -35.000000
6 -35.000000
7 -35.000000
8 -35.000000
9 -35.000000
10 -35.000000
11 -35.000000
12 -35.000000
13 -35.000000
14 -35.000000
15 -35.000000
16 -35.000000
17 -35.000000
18 -35.000000
19 -35.000000
20 -35.000000
21 -35.000000
22 -35.000000
23 -35.000000
24 -35.000000
25 -35.000000
26 -35.000000
27 -35.000000
28 -35.000000
29 -35.000000
30 -35.000000
31 -35.000000
32 -35.000000
33 -5.000000
34 -5.000000
35 -5.000000
36 -5.000000
37 -5.000000
38 -5.000000
39 -5.000000
40 -5.000000
41 -5.000000
42 -5.000000
43 -5.000000
44 -5.000000
45 -5.000000
46 -5.000000
47 -5.000000
48 -5.000000
49 -5.000000
50 -5.000000
51 -5.000000
52 -5.000000
53 -5.000000
54 -5.000000
55 -5.000000
56 -5.000000
57 -5.000000
58 -5.000000
59 -5.000000
60 -5.000000
61 -5.000000
62 -5.000000
63 -5.000000
64 -5.000000
65 -5.000000
66 -5.000000
67 -5.000000
68 -5.000000
69 -5.000000
70 -5.000000
71 -5.000000
72 -5.000000
73 -5.000000
74 -5.000000
75 -5.000000
76 -5.000000
77 -5.000000
78 -5.000000
79 -5.000000
80 -5.000000
81 -5.000000
82 -5.000000
83 -5.000000
84 -5.000000
85 -5.000000
86 -5.000000
87 -5.000000
88 -5.000000
89 -5.000000
90 -5.000000
91 -5.000000
92 -5.000000
93 -5.000000
94 -5.000000
95 -5.000000
96 -5.000000
97 -5.000000
98 -5.000000
99 -5.000000
100 -5.000000
101 -5.000000
102 -5.000000
103 -5.000000
104 -5.000000
105 -5.000000
106 -5.000000
107 -5.000000
108 -5.000000
109 -5.000000
110 -5.000000
111 -5.000000
112 -5.000000
113 10.500000
114 22.000000
# non-zero couplings
0 1 1.750000
0 2 1.750000
0 3 1.000000
0 4 1.750000
0 5 1.750000
0 6 1.000000
0 7 1.000000
0 8 1.000000
0 9 1.000000
0 10 1.000000
0 11 1.000000
0 12 1.000000
0 13 1.000000
0 14 1.000000
0 15 1.000000
0 16 1.000000
0 17 1.000000
0 18 1.000000
0 19 1.000000
0 20 1.000000
0 21 1.000000
0 22 1.000000
0 23 1.000000
0 24 1.000000
0 25 1.000000
0 26 1.000000
0 27 1.000000
0 28 1.000000
0 29 1.000000
0 30 1.000000
0 31 1.000000
0 32 1.000000
0 33 -1.500000
0 34 -1.500000
0 35 -1.500000
0 36 -1.500000
1 0 1.750000
1 2 1.750000
1 3 1.000000
1 4 1.000000
1 5 1.000000
1 6 1.000000
1 7 1.000000
1 8 1.750000
1 9 1.000000
1 10 1.750000
1 11 1.000000
1 12 1.000000
1 13 1.000000
1 14 1.000000
1 15 1.000000
1 16 1.000000
1 17 1.000000
1 18 1.000000
1 19 1.000000
1 20 1.000000
1 21 1.000000
1 22 1.000000
1 23 1.000000
1 24 1.000000
1 25 1.000000
1 26 1.000000
1 27 1.000000
1 28 1.000000
1 29 1.000000
1 30 1.000000
1 31 1.000000
1 32 1.000000
1 33 -1.500000
1 37 -1.500000
1 38 -1.500000
1 39 -1.500000
2 0 1.750000
2 1 1.750000
2 3 1.000000
2 4 1.000000
2 5 1.000000
2 6 1.000000
2 7 1.000000
2 8 1.000000
2 9 1.000000
2 10 1.000000
2 11 1.000000
2 12 1.000000
2 13 1.000000
2 14 1.000000
2 15 1.000000
2 16 1.000000
2 17 1.000000
2 18 1.000000
2 19 1.000000
2 20 1.000000
2 21 1.750000
2 22 1.750000
2 23 1.000000
2 24 1.000000
2 25 1.000000
2 26 1.000000
2 27 1.000000
2 28 1.000000
2 29 1.000000
2 30 1.000000
2 31 1.000000
2 32 1.000000
2 34 -1.500000
2 37 -1.500000
2 40 -1.500000
2 41 -1.500000
3 0 1.000000
3 1 1.000000
3 2 1.000000
3 4 1.750000
3 5 1.750000
3 6 1.750000
3 7 1.750000
3 8 1.000000
3 9 1.000000
3 10 1.000000
3 11 1.000000
3 12 1.000000
3 13 1.000000
3 14 1.000000
3 15 1.000000
3 16 1.000000
3 17 1.000000
3 18 1.000000
3 19 1.000000
3 20 1.000000
3 21 1.000000
3 22 1.000000
3 23 1.000000
3 24 1.000000
3 25 1.000000
3 26 1.000000
3 27 1.000000
3 28 1.000000
3 29 1.000000
3 30 1.000000
3 31 1.000000
3 32 1.000000
3 42 -1.500000
3 43 -1.500000
3 44 -1.500000
3 45 -1.500000
4 0 1.750000
4 1 1.000000
4 2 1.000000
4 3 1.750000
4 5 1.750000
4 6 1.000000
4 7 1.000000
4 8 1.750000
4 9 1.000000
4 10 1.000000
4 11 1.750000
4 12 1.000000
4 13 1.750000
4 14 1.000000
4 15 1.000000
4 16 1.000000
4 17 1.000000
4 18 1.000000
4 19 1.000000
4 20 1.000000
4 21 1.000000
4 22 1.000000
4 23 1.000000
4 24 1.000000
4 25 1.000000
4 26 1.000000
4 27 1.000000
4 28 1.000000
4 29 1.000000
4 30 1.000000
4 31 1.000000
4 32 1.000000
4 35 -1.500000
4 42 -1.500000
4 46 -1.500000
4 47 -1.500000
4 48 -1.500000
4 49 -1.500000
5 0 1.750000
5 1 1.000000
5 2 1.000000
5 3 1.750000
5 4 1.750000
5 6 1.000000
5 7 1.000000
5 8 1.000000
5 9 1.000000
5 10 1.000000
5 11 1.000000
5 12 1.000000
5 13 1.000000
5 14 1.000000
5 15 1.000000
5 16 1.000000
5 17 1.000000
5 18 1.000000
5 19 1.000000
5 20 1.000000
5 21 1.750000
5 22 1.000000
5 23 1.750000
5 24 1.750000
5 25 1.000000
5 26 1.000000
5 27 1.000000
5 28 1.000000
5 29 1.000000
5 30 1.000000
5 31 1.000000
5 32 1.000000
5 36 -1.500000
